,LSOA,population_per_hectare
1188,E01008407,97.2
1189,E01008410,36.6
1190,E01008412,99.2
1191,E01008413,109.9
1192,E01033548,44.2
1193,E01033553,106.2
1194,E01008394,202.7
1195,E01008395,8.4
1196,E01008397,13.1
1197,E01008399,79.5
1198,E01008439,62.4
1199,E01033543,28.5
1200,E01033545,23.8
1201,E01033554,45.5
1202,E01008415,17.6
1203,E01008416,57.1
1204,E01033547,19.7
1205,E01008301,34.1
1206,E01008302,60.8
1207,E01008304,37.0
1208,E01008305,52.6
1209,E01008391,61.0
1210,E01008392,15.8
1211,E01008432,42.1
1212,E01008288,35.0
1213,E01008289,43.0
1214,E01008290,23.3
1215,E01008291,40.7
1216,E01008292,63.9
1217,E01008388,91.1
1218,E01008389,69.5
1219,E01008426,70.0
1220,E01008429,36.3
1221,E01008331,94.8
1222,E01008332,118.0
1223,E01008333,64.3
1224,E01008334,72.7
1225,E01008335,117.0
1226,E01008437,13.0
1227,E01008438,26.1
1228,E01008390,63.4
1229,E01008425,27.4
1230,E01008427,19.5
1231,E01008428,44.3
1232,E01008441,45.1
1233,E01008442,53.9
1234,E01008444,29.4
1235,E01008445,46.3
1236,E01008446,46.0
1237,E01008447,41.0
1238,E01008448,21.1
1239,E01008547,34.7
1240,E01008548,14.7
